index	coefficient	p_value	random_intercept_variance	residual_variance	log_likelihood	aic	bic	bse	q_value
GATD3	-0.011993886150889619	0.9241237420666712	0.3088127712126565	0.30255797792797745	-374.1969264135066			0.125932525299778	0.9436360322217446
A0A0J9YWP8	-0.2579156719797043	0.17409861773300506	0.49822439108770755	0.5453576270781997	-384.4638409605402			0.18976228242294987	0.25322113072110425
UBA6	-0.4887537416367704	0.022457876704235043	0.23211383486526369	0.7226537390917858	-463.2802970873379			0.21412776418469454	0.04422982278515069
SHTN1	0.4134225955811016	0.027845327083648386	0.0828335797448923	0.5847039995168946	-437.6777353230684			0.18796561499065104	0.05350851484837951
ILVBL	-0.8549241269683577	2.811752335508183e-09	0.1657888962777014	0.36895084641272113	-382.91741113764874			0.14387267427130984	1.5945474971074094e-08
A2A2Z9	-0.19304337876271205	0.1461957843701317	0.19519405193108494	0.3178246966569115	-371.93587754677515			0.1328492738590849	0.22017894514567413
FUOM	-0.47580627576811896	0.0012945756301864077	0.13134001513588867	0.37370335012843214	-379.2437425814496			0.14789546908143666	0.003409767280112762
VWA8	-0.22349757629448666	0.016147946810046127	0.27899080479642285	0.15472696064731767	-227.8540083290984			0.09290896713043492	0.0334443350275508
USP17L3	0.5519354950165603	0.00012271812136435643	0.40921209688160937	0.3575607730431579	-379.7969988577411			0.1437095614640909	0.00037028119461931467
ASPDH	-0.11639077256905628	0.37535052675486646	0.24229576473422415	0.3347901074148047	-399.69232318158333			0.13129312002381974	0.47457172627467137
PALM3	0.15958544006848124	0.3505112236089867	0.18153534730887347	0.502576946044997	-433.5847530363485			0.17093590135270734	0.4513609765556552
TTC36	-0.6530561761374025	7.210832076410279e-05	0.09413156528999315	0.5304891077828018	-485.8927687152923			0.1645301082314662	0.00022570169375170645
A8MZ25	1.2951606206849842	3.010585713177063e-22	0.1435246370509605	0.3049468369753768	-346.5823735118163			0.13351966209556798	4.898532454804922e-21
EIF3CL	-0.06784207788378788	0.6893504996935833	0.10130508842199179	0.5573264976327409	-495.4184081196986			0.1697169348710195	0.7688399871662579
HNRNPCL4	-0.17309249631345647	0.3247820686489016	0.11367847648234362	0.484244244255603	-386.3823887187932			0.17578581727046477	0.4255921295771166
NACA	-0.01212491415886547	0.9415402853618158	0.057918074678203854	0.5195592809286514	-476.8211722435019			0.16533809073271957	0.952983172857199
TK2	-0.48208511339953836	0.008065576691355821	0.1185206673959354	0.5628979381449896	-438.5678554636381			0.18196613428219932	0.0179567378767909
PDLIM1	-0.583802761410328	6.289601826219045e-05	0.0742242884358126	0.4017832421881246	-423.0111775070809			0.14588964941812713	0.00019873315389196656
MYO1C	-0.5470690065165513	0.0006228180344748354	0.05628440139384196	0.46708435760958256	-425.1375689054021			0.1598926061629921	0.0017211526952709342
FXYD1	0.45426215315215396	0.0048722268807386525	0.13163655947540093	0.39746930434070954	-346.79619963337973			0.16135122288853504	0.011385969126665764
AIP	-0.21401215646077415	0.2647849084426096	0.13447091855188578	0.5726090806046258	-407.5049257376761			0.1919128378682205	0.3584685269040305
NDUFS8	0.7067646007319139	5.070793328788482e-06	0.10942946896276486	0.4292564038209051	-408.31734242285324			0.1549298129909179	1.8944745033091732e-05
